,Unnamed: 0,numServices,robots,totalscans,detections,vt_class,entropy,numDigits,urlLength,numParams,hasHttp,hasHttps,bodyLength,numTitles,numImages,numLinks,scriptLength,specialChars,ext,dsr,dse,sscr,sbr,bscr
11,11,2,False,71,7,Benign,-4.852593259215103,7,168,1,False,True,1343,3,0,5,828,366,com%2Fhub%2FSciatic-Nerve-Pain-Relief-Home-Natural-Remedies&text=Sciatic+Pain+-+Natural+Treatments+%26+Home+Remedies,7402,268,2.262295081967213,0.616530156366344,0.27252419955323903
12,12,2,False,0,0,Benign,-4.349712458420389,2,47,0,False,True,587,1,0,1,521,140,com,2910,376,3.7214285714285715,0.8875638841567292,0.23850085178875638
13,13,3,False,71,7,Benign,-4.617079538716553,19,109,0,True,False,25861,57,40,201,13621,7459,chn,0,0,1.826116101354069,0.526700436951394,0.28842658829898304
14,14,2,False,77,20,Malicious,-4.499095389252757,3,70,0,True,False,425,0,0,0,414,34,com,418,312,12.176470588235293,0.9741176470588235,0.08
15,15,7,False,71,18,Malicious,-4.218720136335857,0,51,0,False,True,0,0,0,0,0,0,com,618,112,0.0,0.0,0.0
16,16,2,False,66,7,Benign,-4.518355100060621,21,87,0,True,False,14714,0,2,10,3353,3425,com,2645,276,0.978978102189781,0.22787821122740248,0.23277151012641023
17,17,9,False,76,9,Benign,-4.578539852083441,18,47,0,True,False,9227,22,11,29,2840,2060,biz,3830,187,1.3786407766990292,0.30779234854232146,0.22325783028069796
18,18,13,False,71,11,Malicious,-4.323080006743234,0,66,0,False,True,7777,2,2,70,4788,1913,html,0,0,2.502875065342394,0.6156615661566157,0.24598174103124598
19,19,2,False,76,6,Benign,-4.508124199247076,7,95,0,True,False,208019,20,10,82,36129,46214,com,6510,64,0.7817760851689964,0.17368125027040798,0.22216239862704848
20,20,1,False,76,6,Benign,-4.307059437926816,2,92,0,True,False,12,0,0,0,0,1,html,139,226,0.0,0.0,0.08333333333333333
21,21,9,False,71,7,Benign,-4.3911971604236175,8,106,0,True,False,17208,23,7,139,13213,4997,start,4285,97,2.644186511907144,0.7678405392840539,0.2903881915388192
22,22,4,False,71,8,Benign,-3.653756708287,1,21,0,True,False,899,0,3,3,150,311,ly,0,0,0.48231511254019294,0.1668520578420467,0.3459399332591769
23,23,3,False,76,11,Malicious,-5.507414650351155,10,132,0,False,True,58431,30,288,493,5870,13237,com,2864,422,0.4434539548236005,0.1004603720627749,0.22654070613201896
24,24,1,False,71,11,Malicious,-3.934829508503261,0,40,0,False,True,5158,13,1,26,0,959,html,87,277,0.0,0.0,0.18592477704536642
25,25,2,False,76,6,Benign,-3.555044312910037,69,172,0,True,False,30716,0,3,36,794,4506,jp,0,0,0.17620949844651576,0.025849720015627034,0.1466987889048053
26,26,2,False,76,5,Benign,-4.268918589494275,6,106,0,True,False,15414,4,4,26,11227,3961,com,9706,1980,2.834385256248422,0.7283638250940703,0.25697417931750355
27,27,2,False,71,16,Malicious,-3.7742078478162218,0,33,0,True,False,0,0,0,0,0,0,com,130,235,0.0,0.0,0.0
28,28,2,False,71,7,Benign,-4.419037514667544,8,97,2,False,True,1814,2,1,22,1490,449,com%2Fp%2Fpocket-topics%2Fparenting,3371,281,3.318485523385301,0.8213891951488423,0.24751929437706727
29,29,0,False,0,0,Benign,-4.622227320944884,5,59,0,False,True,0,0,0,0,0,0,com,220,145,0.0,0.0,0.0
30,30,1,False,71,8,Benign,-4.93492089172635,10,92,3,True,False,0,1,0,0,0,0,php?bo_table=torrent_song&wr_id=46759&k=%EB%A9%9C%EB%A1%A0&page=1,1861,330,0.0,0.0,0.0
31,31,11,False,76,11,Malicious,-3.9970822612219763,0,50,0,True,False,164,1,0,0,0,28,xyz,103,263,0.0,0.0,0.17073170731707318
32,32,12,False,76,6,Benign,-4.4031565304235665,8,99,0,True,False,17733,23,7,139,12999,5011,start,4285,97,2.5940929954100977,0.7330400947386229,0.2825804996334518
33,33,2,False,76,5,Benign,-4.397431657470643,7,92,0,True,False,37235,12,14,58,24946,9326,com,9706,1980,2.674887411537637,0.6699610581442191,0.25046327380153083
34,34,3,False,71,9,Benign,-3.735926350629032,0,28,0,True,False,265,3,1,2,2,49,com,90,275,0.04081632653061224,0.007547169811320755,0.18490566037735848
35,35,0,False,71,11,Malicious,-4.319250912838829,2,60,0,False,True,0,0,0,0,0,0,net,9027,38,0.0,0.0,0.0
36,36,1,False,71,8,Benign,-4.519976679963127,5,52,0,True,False,0,0,0,0,0,0,com,90,640,0.0,0.0,0.0
37,37,0,False,76,12,Malicious,-4.120934959783182,0,44,0,True,False,0,0,0,0,0,0,net,963,132,0.0,0.0,0.0
38,38,1,False,76,6,Benign,-4.261026707771433,1,105,0,True,False,257773,0,4,36,156509,64553,id,4241,145,2.4245038960234226,0.6071582361224799,0.250425762201627
39,39,2,False,66,7,Benign,-5.041375602705262,11,169,4,True,False,12979,15,26,40,9751,3593,11&programId=LOA01-HomeLoans&chCatId=,0,0,2.7138881157806845,0.7512905462670467,0.2768318052238231
40,40,2,False,71,7,Benign,-4.777462658769744,24,88,1,True,False,7789,21,28,268,4422,2313,com,7686,2906,1.9118028534370948,0.5677237129284889,0.29695724740017976
41,41,2,False,72,7,Benign,-4.3578378249714635,2,37,0,False,True,23126,12,1,4,20876,7318,com,7477,193,2.852691992347636,0.9027069099714607,0.31644037014615584
42,42,3,False,71,8,Benign,-4.515091378790371,5,138,0,False,True,62584,0,0,5,59059,16676,com,8006,393,3.54155672823219,0.9436756998593889,0.2664578806084622
43,43,3,False,76,6,Benign,-4.845560690183442,12,100,1,True,False,22895,126,26,266,19080,6519,com,5231,2438,2.926829268292683,0.8333697313823979,0.2847346582223193
44,44,4,False,70,7,Benign,-4.534862581113472,20,90,0,True,False,24476,57,40,206,13460,7104,chn,0,0,1.8947072072072073,0.549926458571662,0.2902435038404968
45,45,0,False,76,11,Malicious,-5.238389285029816,35,254,0,False,True,0,0,0,0,0,0,com,111,254,0.0,0.0,0.0
46,46,8,False,72,19,Malicious,-4.026360459931183,0,37,0,True,False,1018,4,0,1,30,204,php,83,282,0.14705882352941177,0.029469548133595286,0.20039292730844793
47,47,0,False,71,16,Malicious,-5.128762305666703,11,145,0,False,True,0,0,0,0,0,0,php?ass=wKU_tF,95,270,0.0,0.0,0.0
48,48,2,False,71,7,Benign,-4.45022425920434,10,93,0,True,False,17678,19,4,79,14695,4077,html,5796,0,3.604365955359333,0.8312591922163141,0.23062563638420636
49,49,8,False,71,7,Benign,-4.8058523810640965,30,92,0,True,False,86362,2,3,40,85779,19309,com,8762,369,4.442436169661816,0.9932493457770779,0.22358213102985108
50,50,2,False,76,5,Benign,-4.329173844915891,12,94,0,True,False,10303,1,2,3,117,2561,com,5434,409,0.04568527918781726,0.01135591575269339,0.24856837814228866
51,51,2,False,77,20,Malicious,-4.516882710650421,4,70,0,True,False,425,0,0,0,414,35,com,418,312,11.82857142857143,0.9741176470588235,0.08235294117647059
52,52,2,False,76,6,Benign,-4.4115153459985095,6,93,0,True,False,26845,1,4,49,19905,6856,com,9706,1980,2.903296382730455,0.741478860122928,0.2553920655615571
53,53,0,False,76,10,Malicious,-5.166780865436759,33,155,1,True,False,0,0,0,0,0,0,-G-9-at%E2%88%9A%C2%A9-12,0,0,0.0,0.0,0.0
54,54,1,False,71,7,Benign,-4.114182133160496,1,89,0,True,False,257773,0,4,36,156509,64553,id,4241,145,2.4245038960234226,0.6071582361224799,0.250425762201627
55,55,8,False,76,5,Benign,-4.4483349110009005,8,97,0,True,False,20109,0,0,3,20009,6718,net,4535,578,2.978416195296219,0.9950271022925058,0.3340792679894575
56,56,0,False,71,7,Benign,-4.572735244781066,5,88,0,True,False,0,0,0,0,0,0,com,6403,171,0.0,0.0,0.0
57,57,1,False,76,5,Benign,-4.46895352984827,7,116,0,True,False,67377,29,45,637,10962,15180,com,5966,280,0.7221343873517787,0.1626964691215103,0.22529943452513468
58,58,2,False,76,5,Benign,-4.4678911974679405,23,87,0,True,False,14714,0,2,10,3353,3425,com,2645,276,0.978978102189781,0.22787821122740248,0.23277151012641023
59,59,2,False,76,6,Benign,-3.748936790444904,98,313,0,True,False,15761,1,11,98,12141,4234,net,8641,1584,2.867501180916391,0.7703191421864095,0.26863777679081274
60,60,0,False,71,9,Benign,-4.098171939471839,0,50,0,False,True,0,0,0,0,0,0,com,86,279,0.0,0.0,0.0
61,61,2,False,72,10,Malicious,-5.255194475037187,7,105,0,False,True,1553,0,0,3,0,329,com,8260,3061,0.0,0.0,0.21184803605924019
62,62,4,False,76,6,Benign,-4.387109032659971,2,89,0,True,False,51370,5,5,20,39411,15533,tv,6800,139,2.5372432884825855,0.7671987541366556,0.3023749270001947
63,63,0,False,71,16,Malicious,-5.235737555689799,39,251,0,False,True,0,0,0,0,0,0,com,111,254,0.0,0.0,0.0
64,64,2,False,76,5,Benign,-4.468022865178705,4,92,0,True,False,11544,10,48,256,5740,2970,com,7964,70,1.9326599326599327,0.4972279972279972,0.25727650727650725
65,65,0,False,0,0,Benign,-4.7208745377769645,55,125,0,False,True,0,0,0,0,0,0,com,96,269,0.0,0.0,0.0
66,66,2,True,76,6,Benign,-4.7291485384375935,20,155,2,True,False,3141,0,0,0,3141,942,do?_method=itemAreaList&area1=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C&area2=%EC%9A%A9%EC%82%B0%EA%B5%AC,8842,655,3.3343949044585988,1.0,0.29990448901623684
67,67,0,False,72,17,Malicious,-4.185867302411998,0,35,0,False,True,0,0,0,0,0,0,php,84,281,0.0,0.0,0.0
68,68,9,False,0,0,Benign,-4.556017315504028,8,130,0,True,False,18695,23,7,139,13387,5196,js,4285,97,2.5764049268668208,0.7160738165284836,0.2779352768119818
69,69,2,False,66,7,Benign,-4.444902691720814,21,87,0,True,False,14714,0,2,10,3353,3425,com,2645,276,0.978978102189781,0.22787821122740248,0.23277151012641023
70,70,2,False,71,7,Benign,-4.3909804955184315,8,85,0,True,False,8984,1,1,0,5770,3170,html,5796,0,1.8201892744479495,0.6422528940338379,0.35284951024042743
71,71,0,False,76,14,Malicious,-4.385767539662272,8,79,0,False,True,0,0,0,0,0,0,com,86,279,0.0,0.0,0.0
72,72,2,False,71,7,Benign,-4.512286621231674,6,114,0,True,False,24062,2,31,140,19456,7457,com,4925,3126,2.6090921282016897,0.8085778405785056,0.3099077383426149
73,73,2,False,76,5,Benign,-4.5112668302668135,4,100,0,True,False,9194,10,2,96,1712,1849,org,10504,3009,0.9259058950784208,0.18620839678050902,0.20110941918642594
74,74,2,False,76,6,Benign,-4.85587561278562,23,93,0,False,True,0,0,0,0,0,0,html?52811152689395950248762,5570,273,0.0,0.0,0.0
75,75,2,False,76,6,Benign,-4.606655860431778,10,93,0,True,False,127294,1,0,20,10553,27136,com,5709,134,0.38889298349056606,0.08290257199868022,0.21317579775951734
76,76,2,False,77,20,Malicious,-4.628774982092718,5,70,0,True,False,423,0,0,0,412,37,com,418,312,11.135135135135135,0.9739952718676123,0.08747044917257683
77,77,9,False,66,7,Benign,-4.616718091357208,7,118,0,True,False,889,9,0,2,0,176,html?href=inner_website,1903,288,0.0,0.0,0.19797525309336333
78,78,2,False,76,6,Benign,-4.48762775041918,4,108,0,True,False,5167,10,2,95,1712,1154,org,10504,3009,1.483535528596187,0.3313334623572673,0.22334042964970002
79,79,0,False,76,11,Malicious,-3.873140679513132,5,26,0,False,True,0,0,0,0,0,0,net,84,281,0.0,0.0,0.0
80,80,2,False,76,13,Malicious,-4.348019918036975,7,43,0,True,False,41,1,0,0,0,6,ru,4288,94,0.0,0.0,0.14634146341463414
81,81,2,False,76,6,Benign,-4.569638149988001,10,83,0,True,False,41280,26,36,207,25300,11218,com,5721,852,2.255303975753254,0.6128875968992248,0.27175387596899225
82,82,2,False,76,6,Benign,-4.427771805463153,0,65,0,False,True,10516,16,13,57,1233,2202,uk,5620,223,0.5599455040871935,0.11724990490680867,0.20939520730315708
83,83,3,False,71,11,Malicious,-4.1738685753035725,3,47,0,False,True,11900,5,5,4,1389,3578,htm,1447,743,0.388205701509223,0.11672268907563026,0.30067226890756305
84,84,3,False,72,18,Malicious,-3.9224734155316097,0,34,0,False,True,0,0,0,0,0,0,fr,822,0,0.0,0.0,0.0
85,85,2,False,66,7,Benign,-5.4098254583385135,5,84,0,True,False,325775,12,12,22,306251,84162,com,5465,13,3.6388274993464984,0.9400690660732101,0.25834394904458596
86,86,0,False,71,15,Malicious,-3.8492239123906247,0,23,0,True,False,0,0,0,0,0,0,com,0,0,0.0,0.0,0.0
87,87,1,False,71,8,Benign,-5.02693115201077,24,158,0,True,False,3240,0,0,0,3240,1123,sbyky,3286,366,2.8851291184327694,1.0,0.34660493827160493
88,88,6,False,76,12,Malicious,-3.6732696895151062,0,25,0,False,True,952,9,0,2,0,187,top,0,0,0.0,0.0,0.19642857142857142
89,89,2,False,71,10,Malicious,-4.021268494903765,2,29,0,False,True,258,0,1,1,0,50,link,0,0,0.0,0.0,0.1937984496124031
90,90,2,False,71,7,Benign,-4.204310485290681,1,96,0,True,False,45267,0,1,30,43920,11823,pl,4916,0,3.714793199695509,0.9702432235403274,0.2611836437139638
91,91,0,False,0,0,Benign,-3.991173461043484,0,44,0,True,False,0,0,0,0,0,0,top,0,0,0.0,0.0,0.0
92,92,2,False,76,6,Benign,-4.143428089623748,3,101,0,True,False,287311,191,148,175,268352,11333,shtml?page=,8826,217,23.67881408276714,0.9340122724156054,0.0394450612750643
93,93,5,False,66,7,Benign,-4.9044739523314185,35,176,0,True,False,3051,0,3,17,2088,827,com,3301,716,2.524788391777509,0.6843657817109144,0.27105866928875777
94,94,2,False,76,5,Benign,-4.520498315916673,8,100,0,True,False,113329,27,79,212,53460,28901,com,8611,153,1.849762983979793,0.47172391885572096,0.2550185742396033
95,95,2,False,76,6,Benign,-4.486931746806317,12,86,0,True,False,25855,10,9,112,18782,7673,com,4306,301,2.447803988009905,0.7264358924772771,0.29677045058982787
96,96,0,False,76,9,Benign,-3.546439344671015,0,20,0,True,False,0,0,0,0,0,0,press,109,257,0.0,0.0,0.0
97,97,0,False,76,6,Benign,-4.595802960626866,5,85,0,True,False,0,0,0,0,0,0,com,6403,171,0.0,0.0,0.0
98,98,0,False,76,12,Malicious,-4.334679141051594,4,26,0,False,True,0,0,0,0,0,0,net,84,281,0.0,0.0,0.0
99,99,13,False,76,9,Benign,-3.9056390622295662,0,32,0,True,False,183,1,0,0,0,34,com,277,88,0.0,0.0,0.18579234972677597
100,100,19,False,66,7,Benign,-3.799995481532839,44,143,0,True,False,4821,33,36,59,3257,1389,net,2595,326,2.3448524118070555,0.6755859780128604,0.2881144990665837
101,101,1,False,76,5,Benign,-4.964036578350647,32,187,0,True,False,3240,0,0,0,3240,1123,rarbg,3286,366,2.8851291184327694,1.0,0.34660493827160493
102,102,0,False,71,15,Malicious,-4.754377842334021,4,38,0,False,True,0,0,0,0,0,0,net,84,281,0.0,0.0,0.0
103,103,0,False,76,6,Benign,-4.601393406737623,16,108,0,True,False,0,0,0,0,0,0,com,6227,347,0.0,0.0,0.0
104,104,2,False,71,7,Benign,-4.478316216292538,15,92,0,True,False,164831,18,26,131,58999,38243,uk,8670,2972,1.5427398478152865,0.35793631052411257,0.2320133955384606
105,105,1,False,76,5,Benign,-4.325187406424176,0,84,0,False,True,7987,19,1,101,728,1396,uk,8670,0,0.5214899713467048,0.09114811568799298,0.17478402403906348
106,106,2,False,71,7,Benign,-4.625523410388546,15,125,0,True,False,155671,16,21,118,50734,35561,uk,8670,2972,1.4266752903461657,0.32590527458550406,0.2284368957609317
107,107,2,False,0,0,Benign,-4.073652712203047,22,119,0,True,False,7055,48,29,149,3819,1932,jp,0,0,1.9767080745341614,0.5413182140326009,0.2738483345145287
108,108,0,False,76,15,Malicious,-4.333791798495228,0,41,0,False,True,0,0,0,0,0,0,in,173,192,0.0,0.0,0.0
109,109,2,False,71,8,Benign,-4.4362258238798535,20,87,0,True,False,14714,0,2,10,3353,3425,com,2645,276,0.978978102189781,0.22787821122740248,0.23277151012641023
110,110,2,False,71,7,Benign,-4.515184967461677,8,110,0,True,False,21580,13,28,117,15125,5571,com,5522,321,2.7149524322383773,0.7008804448563485,0.2581556997219648
111,111,2,False,76,13,Malicious,-4.629003731107052,4,35,0,False,True,1553,0,0,3,0,329,gle,0,0,0.0,0.0,0.21184803605924019
112,112,19,False,76,6,Benign,-4.050187923201006,37,131,0,True,False,2643,2,3,17,2396,840,net,2595,326,2.8523809523809525,0.9065455921301552,0.3178206583427923
113,113,2,False,0,0,Benign,-4.100671998907624,54,156,0,True,False,853,0,0,0,853,285,com,7900,499,2.992982456140351,1.0,0.33411488862837047
114,114,37,False,76,5,Benign,-4.454985572827725,5,150,0,True,False,0,0,0,0,0,0,com,6612,1423,0.0,0.0,0.0
115,115,2,False,71,7,Benign,-4.378926093314718,8,86,0,True,False,10303,1,2,3,117,2561,com,5434,409,0.04568527918781726,0.01135591575269339,0.24856837814228866
116,116,9,False,76,5,Benign,-4.272400477248444,0,88,0,True,False,215809,9,5,47,213416,60876,com,3675,342,3.5057493922071097,0.9889114911797006,0.28208276763248985
117,117,2,False,76,7,Benign,-5.2205841612068635,10,101,0,False,True,82854,0,1,4,43175,23201,com,8260,3061,1.8609111676220853,0.5210973519685229,0.28002269051584716
118,118,2,False,76,6,Benign,-4.494696002241104,2,104,8,True,False,34,1,0,0,0,6,php?board=novel&bm=view&no=4&category=&auth=&page=1&search=&keyword=&recom=,994,101,0.0,0.0,0.17647058823529413
119,119,3,False,76,7,Benign,-4.172877655355799,55,196,0,True,False,6759,19,17,263,3923,1796,com,2909,377,2.1842984409799553,0.5804113034472556,0.26571978103269717
120,120,1,False,76,6,Benign,-5.053463516222728,38,164,0,True,False,3240,0,0,0,3240,1123,anoxmous,3286,366,2.8851291184327694,1.0,0.34660493827160493
121,121,3,False,72,16,Malicious,-4.2395245791100225,3,49,0,False,True,11900,5,5,4,1389,3578,php,1447,743,0.388205701509223,0.11672268907563026,0.30067226890756305
122,122,2,False,76,5,Benign,-4.853638797731928,4,139,1,True,False,4559,14,28,48,2964,1331,do?channelId=BBSME-PaymentSolutions&chCatId=,0,0,2.2268970698722765,0.6501425751261242,0.2919499890326826
123,123,1,False,76,6,Benign,-4.9283528884131655,34,172,0,True,False,3240,0,0,0,3240,1123,rartv,3286,366,2.8851291184327694,1.0,0.34660493827160493
124,124,2,False,71,7,Benign,-4.111362525698544,0,85,0,True,False,5570,5,19,135,841,1011,br,0,0,0.8318496538081108,0.15098743267504489,0.181508078994614
125,125,2,False,76,5,Benign,-4.691128366372733,7,83,0,True,False,25584,24,95,255,11156,10580,aspx?qry=tiffins_snacks020315-3,8484,647,1.0544423440453685,0.4360537836147592,0.41353971232020015
126,126,2,False,76,5,Benign,-4.463422379454396,8,91,0,False,True,95241,25,4,50,78728,25142,com,8006,393,3.1313340227507758,0.8266187881269621,0.26398294852007015
127,127,1,False,76,7,Benign,-4.811940413188582,24,136,3,True,False,0,1,0,0,0,0,php?bo_table=torrent_ani&wr_id=28026&k=%EC%86%8C%EB%93%9C%EC%95%84%ED%8A%B8%EC%98%A8%EB%9D%BC%EC%9D%B8&page=1,1861,330,0.0,0.0,0.0
128,128,2,False,71,7,Benign,-4.9363659164044815,14,208,2,True,False,23749,2,30,142,19121,7372,com,4925,3126,2.593733043950081,0.805128636995242,0.31041307002400104
129,129,9,False,66,7,Benign,-4.411274641793623,5,170,0,True,False,889,9,0,2,0,176,html?href=inner_website,1903,288,0.0,0.0,0.19797525309336333
130,130,2,False,71,7,Benign,-4.46091126881807,7,107,0,True,False,217799,24,13,104,39584,48224,com,5710,133,0.820836098208361,0.18174555438730206,0.22141515801266304
131,131,3,False,77,16,Malicious,-4.369707376737534,2,33,0,False,True,11913,1,0,1,11708,3550,com,7708,692,3.2980281690140845,0.9827919079996642,0.29799378829849743
132,132,2,False,71,7,Benign,-4.52207688896347,8,91,0,True,False,2034,1,0,1,816,580,com,5714,129,1.4068965517241379,0.40117994100294985,0.28515240904621436
133,133,0,False,76,12,Malicious,-4.211260736432281,3,29,0,False,True,0,0,0,0,0,0,com,86,279,0.0,0.0,0.0
134,134,2,False,71,8,Benign,-4.093139062229566,0,32,0,False,True,2758,1,1,2,0,733,com,5143,335,0.0,0.0,0.26577229876722264
135,135,2,True,66,7,Benign,-4.7906685807168845,20,155,2,True,False,3141,0,0,0,3141,942,do?_method=itemAreaList&area1=%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C&area2=%EB%B6%80%ED%8F%89%EA%B5%AC,8842,655,3.3343949044585988,1.0,0.29990448901623684
136,136,0,False,76,15,Malicious,-4.18151041961245,0,58,0,False,True,0,0,0,0,0,0,com,4131,616,0.0,0.0,0.0
137,137,2,False,71,7,Benign,-5.163556788925777,10,98,0,True,False,39804,21,4,86,35516,11292,l7,5796,0,3.145235565001771,0.8922721334539242,0.2836900813988544
138,138,2,False,76,5,Benign,-4.514545004480722,0,62,0,False,True,33642,5,7,13,28897,10490,com,7477,193,2.7547187797902764,0.8589560668212354,0.3118126151834017
139,139,2,False,76,7,Benign,-5.5638580403146065,16,174,1,False,True,1553,0,0,3,0,329,com,8260,3061,0.0,0.0,0.21184803605924019
140,140,0,False,77,14,Malicious,-4.5755510772727686,33,68,0,False,True,0,0,0,0,0,0,com,88,277,0.0,0.0,0.0
141,141,2,False,76,11,Malicious,-4.427023643888801,0,68,0,False,True,0,0,0,0,0,0,com,7126,178,0.0,0.0,0.0
142,142,2,False,71,7,Benign,-4.461814506559713,8,92,0,True,False,10303,1,2,3,117,2561,com,5434,409,0.04568527918781726,0.01135591575269339,0.24856837814228866
143,143,2,False,71,9,Benign,-4.251560341026156,0,55,0,False,True,2758,1,1,2,0,733,com,5143,335,0.0,0.0,0.26577229876722264
144,144,0,False,71,20,Malicious,-4.101409765557392,1,32,0,False,True,0,0,0,0,0,0,icu,0,0,0.0,0.0,0.0
145,145,3,False,0,0,Benign,-4.405319794905356,7,72,0,True,False,11900,5,5,4,1389,3578,php,1447,743,0.388205701509223,0.11672268907563026,0.30067226890756305
146,146,2,False,76,6,Benign,-4.924096880183001,28,123,4,True,False,0,0,0,0,0,0,jsp?l_code=2113200000&Area=tooth&FTOOTH=21&mdiv=1000900000-bt_5_023_08&ctype=B,0,0,0.0,0.0,0.0
147,147,18,False,71,17,Malicious,-4.134601258822527,0,74,0,False,True,9261,10,9,89,2715,2342,com,1493,332,1.159265584970111,0.2931648850016197,0.2528884569700896
148,148,1,False,76,6,Benign,-4.6215908059944,8,119,0,True,False,26669,17,9,313,12937,6457,com,5966,280,2.0035620257085336,0.485095054182759,0.24211631482245302
149,149,18,False,77,23,Malicious,-5.057865473602006,48,247,2,True,False,1710,0,0,5,1032,590,php?cmd=_update-information&account_update=acf732e34881a0267bffa49dc42cb984&lim_session=86669daac1884dfd9c7e776a3360aa694cd7c52a,2117,74,1.7491525423728813,0.6035087719298246,0.34502923976608185
150,150,0,False,77,17,Malicious,-3.976409765557391,0,32,0,False,True,0,0,0,0,0,0,icu,0,0,0.0,0.0,0.0
151,151,19,False,76,8,Benign,-4.040582138827601,27,100,0,True,False,4621,18,26,74,2657,1315,net,2595,326,2.020532319391635,0.5749837697468081,0.28457043929885306
152,152,0,False,76,7,Benign,-4.25111625374796,57,177,0,True,False,69282,28,55,153,15241,15507,net,8641,1584,0.9828464564390276,0.21998498888600213,0.22382436996622498
153,153,3,False,72,12,Malicious,-4.440189012169191,0,54,0,False,True,0,0,0,0,0,0,php,285,80,0.0,0.0,0.0
154,154,2,False,71,7,Benign,-3.932874360347044,0,35,0,False,True,68453,0,3,37,42913,16865,com,9266,229,2.544500444707975,0.6268972871897507,0.24637342410120813
155,155,2,False,71,12,Malicious,-4.254195650150781,0,29,0,True,False,2758,1,1,2,0,733,com,5143,335,0.0,0.0,0.26577229876722264
156,156,2,False,63,6,Benign,-4.60969523036947,4,108,0,True,False,128867,0,6,24,128520,36150,com,8144,255,3.555186721991701,0.9973073013261735,0.2805217782675161
157,157,2,False,76,6,Benign,-4.304710226052486,0,93,0,True,False,71699,33,30,200,63482,20694,com,9554,2865,3.06765245965014,0.8853958911560831,0.28862327229110585
158,158,2,False,76,5,Benign,-4.492327619119531,6,109,0,True,False,14330,1,4,25,11314,3749,com,9706,1980,3.0178714323819684,0.7895324494068388,0.2616189811584089
159,159,6,False,76,10,Malicious,-4.127569435189147,0,42,0,False,True,0,0,0,0,0,0,com,1097,363,0.0,0.0,0.0
160,160,0,False,76,11,Malicious,-4.748640092203144,14,106,0,False,True,0,0,0,0,0,0,com,111,254,0.0,0.0,0.0
161,161,9,False,76,5,Benign,-4.31228705848791,38,124,0,True,False,1312,2,2,18,1154,421,to,0,0,2.7410926365795723,0.8795731707317073,0.3208841463414634
162,162,4,False,76,6,Benign,-4.2534513165555685,0,84,0,True,False,86354,5,201,515,64182,26219,ru,4304,78,2.4479194477287463,0.7432429302637978,0.30362229890914144
163,163,2,False,76,5,Benign,-4.713685197298448,37,87,0,True,False,10305,234,38,290,2874,2021,com,3079,1669,1.4220682830282039,0.27889374090247454,0.19611838913148957
164,164,0,False,0,0,Benign,-5.209855627103327,28,165,0,False,True,0,0,0,0,0,0,com?h=tns-PANezLU0SrOBxqiB1g1NS76oQevFoC2g81mpoy4,97,268,0.0,0.0,0.0
165,165,3,False,72,11,Malicious,-4.027169118440616,4,22,0,False,True,392,1,0,0,0,66,ly,0,0,0.0,0.0,0.1683673469387755
166,166,7,False,76,5,Benign,-4.642923736865787,8,109,0,True,False,0,0,0,0,0,0,com,2253,1398,0.0,0.0,0.0
167,167,0,False,76,5,Benign,-4.241653428393324,0,91,0,True,False,0,0,0,0,0,0,com,5789,54,0.0,0.0,0.0
